Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
220,4Sn6oOU6,36104319,0,20,188,0
221,4Sn6oOU6,36637796,0,21,178,0
222,4Sn6oOU6,36982780,0,22,95,0
223,4Sn6oOU6,38022100,0,23,203,0
224,4Sn6oOU6,38123319,0,24,210,1
225,4Sn6oOU6,38151123,0,25,210,0
226,4Sn6oOU6,38678234,0,26,399,0
227,4Sn6oOU6,39007825,0,27,174,0
228,4Sn6oOU6,39359174,0,28,219,0
229,4Sn6oOU6,39569048,0,29,175,0
230,4Sn6oOU6,40536667,0,30,234,0
231,4Sn6oOU6,42049771,0,31,169,0
232,4Sn6oOU6,43123765,0,32,245,0
233,4Sn6oOU6,43156280,0,33,182,0
234,4Sn6oOU6,43348175,0,34,200,0
235,4Sn6oOU6,43367113,0,35,185,0
236,4Sn6oOU6,43820536,0,36,189,0
237,4Sn6oOU6,44519908,0,37,100,0
238,4Sn6oOU6,44608896,0,38,227,0
239,4Sn6oOU6,45053706,0,39,160,0
240,4Sn6oOU6,45469731,0,40,178,0
241,5SJibOgA,793723,0,1,250,0
242,5SJibOgA,5374761,0,2,210,0
243,5SJibOgA,7576657,0,3,186,0
244,5SJibOgA,11815241,0,4,282,0
245,5SJibOgA,13140432,0,5,235,1
246,5SJibOgA,14068513,0,6,282,0
247,5SJibOgA,14071933,0,7,282,0
248,5SJibOgA,14072680,0,8,282,0
249,5SJibOgA,20322055,0,9,252,0
250,5SJibOgA,20322202,0,10,223,0
251,5SJibOgA,21062970,0,11,235,0
252,5SJibOgA,21267121,0,12,282,0
253,5SJibOgA,27668343,0,13,250,0
254,5SJibOgA,28483791,0,14,124,0
255,5SJibOgA,28488431,0,15,208,0
256,5SJibOgA,28495316,0,16,150,0
257,5SJibOgA,31571374,0,17,243,0
258,5SJibOgA,31802949,0,18,200,0
259,5SJibOgA,32118568,0,19,173,0
260,5SJibOgA,36104319,0,20,188,0
261,5SJibOgA,36637796,0,21,178,0
262,5SJibOgA,36982780,0,22,95,0
263,5SJibOgA,38022100,0,23,203,0
264,5SJibOgA,38123319,0,24,210,0
265,5SJibOgA,38151123,0,25,210,0
266,5SJibOgA,38678234,0,26,399,0
267,5SJibOgA,39007825,0,27,174,0
268,5SJibOgA,39359174,0,28,219,0
269,5SJibOgA,39569048,0,29,175,0
270,5SJibOgA,40536667,0,30,234,0
271,5SJibOgA,42049771,0,31,169,0
272,5SJibOgA,43123765,0,32,245,0
273,5SJibOgA,43156280,0,33,182,0
274,5SJibOgA,43348175,0,34,200,0
275,5SJibOgA,43367113,0,35,185,0
276,5SJibOgA,43820536,0,36,189,0
277,5SJibOgA,44519908,0,37,100,0
278,5SJibOgA,44608896,0,38,227,0
279,5SJibOgA,45053706,0,39,160,0
280,5SJibOgA,45469731,0,40,178,0
281,9EreLmYu,793723,0,1,250,0
282,9EreLmYu,5374761,0,2,210,0
283,9EreLmYu,7576657,0,3,186,0
284,9EreLmYu,11815241,0,4,282,0
285,9EreLmYu,13140432,0,5,235,0
286,9EreLmYu,14068513,0,6,282,0
287,9EreLmYu,14071933,0,7,282,0
288,9EreLmYu,14072680,0,8,282,0
289,9EreLmYu,20322055,0,9,252,0
290,9EreLmYu,20322202,0,10,223,0
291,9EreLmYu,21062970,0,11,235,0
292,9EreLmYu,21267121,0,12,282,0
293,9EreLmYu,27668343,0,13,250,0
294,9EreLmYu,28483791,0,14,124,0
295,9EreLmYu,28488431,0,15,208,0
296,9EreLmYu,28495316,0,16,150,0
297,9EreLmYu,31571374,0,17,243,0
298,9EreLmYu,31802949,0,18,200,0
299,9EreLmYu,32118568,0,19,173,0
300,9EreLmYu,36104319,0,20,188,0
301,9EreLmYu,36637796,0,21,178,0
302,9EreLmYu,36982780,0,22,95,1
303,9EreLmYu,38022100,0,23,203,0
304,9EreLmYu,38123319,0,24,210,0
305,9EreLmYu,38151123,0,25,210,0
306,9EreLmYu,38678234,0,26,399,0
307,9EreLmYu,39007825,0,27,174,0
308,9EreLmYu,39359174,0,28,219,0
309,9EreLmYu,39569048,0,29,175,0
310,9EreLmYu,40536667,0,30,234,0
311,9EreLmYu,42049771,0,31,169,0
312,9EreLmYu,43123765,0,32,245,0
313,9EreLmYu,43156280,0,33,182,0
314,9EreLmYu,43348175,0,34,200,0
315,9EreLmYu,43367113,0,35,185,0
316,9EreLmYu,43820536,0,36,189,0
317,9EreLmYu,44519908,0,37,100,0
318,9EreLmYu,44608896,0,38,227,0
319,9EreLmYu,45053706,0,39,160,0
320,9EreLmYu,45469731,0,40,178,0
321,9TYLp4F8,793723,0,1,250,0
322,9TYLp4F8,5374761,0,2,210,0
323,9TYLp4F8,7576657,0,3,186,0
324,9TYLp4F8,11815241,0,4,282,0
325,9TYLp4F8,13140432,0,5,235,0
326,9TYLp4F8,14068513,0,6,282,0
327,9TYLp4F8,14071933,0,7,282,0
328,9TYLp4F8,14072680,0,8,282,0
329,9TYLp4F8,20322055,0,9,252,0
330,9TYLp4F8,20322202,0,10,223,0
331,9TYLp4F8,21062970,0,11,235,0
332,9TYLp4F8,21267121,0,12,282,0
333,9TYLp4F8,27668343,0,13,250,0
334,9TYLp4F8,28483791,0,14,124,0
335,9TYLp4F8,28488431,0,15,208,0
336,9TYLp4F8,28495316,0,16,150,0
337,9TYLp4F8,31571374,0,17,243,0
338,9TYLp4F8,31802949,0,18,200,0
339,9TYLp4F8,32118568,0,19,173,0
340,9TYLp4F8,36104319,0,20,188,0
341,9TYLp4F8,36637796,0,21,178,0
342,9TYLp4F8,36982780,0,22,95,1
343,9TYLp4F8,38022100,0,23,203,0
344,9TYLp4F8,38123319,0,24,210,0
345,9TYLp4F8,38151123,0,25,210,0
346,9TYLp4F8,38678234,0,26,399,0
347,9TYLp4F8,39007825,0,27,174,0
348,9TYLp4F8,39359174,0,28,219,0
349,9TYLp4F8,39569048,0,29,175,0
350,9TYLp4F8,40536667,0,30,234,0
351,9TYLp4F8,42049771,0,31,169,0
352,9TYLp4F8,43123765,0,32,245,0
353,9TYLp4F8,43156280,0,33,182,0
354,9TYLp4F8,43348175,0,34,200,0
355,9TYLp4F8,43367113,0,35,185,0
356,9TYLp4F8,43820536,0,36,189,0
357,9TYLp4F8,44519908,0,37,100,0
358,9TYLp4F8,44608896,0,38,227,0
359,9TYLp4F8,45053706,0,39,160,0
360,9TYLp4F8,45469731,0,40,178,0
361,9vySc2ot,793723,0,1,250,0
362,9vySc2ot,5374761,0,2,210,0
363,9vySc2ot,7576657,0,3,186,0
364,9vySc2ot,11815241,0,4,282,0
365,9vySc2ot,13140432,0,5,235,0
366,9vySc2ot,14068513,0,6,282,0
367,9vySc2ot,14071933,0,7,282,0
368,9vySc2ot,14072680,0,8,282,0
369,9vySc2ot,20322055,0,9,252,0
370,9vySc2ot,20322202,0,10,223,0
371,9vySc2ot,21062970,0,11,235,0
372,9vySc2ot,21267121,0,12,282,0
373,9vySc2ot,27668343,0,13,250,0
374,9vySc2ot,28483791,0,14,124,0
375,9vySc2ot,28488431,0,15,208,0
376,9vySc2ot,28495316,0,16,150,1
377,9vySc2ot,31571374,0,17,243,0
378,9vySc2ot,31802949,0,18,200,0
379,9vySc2ot,32118568,0,19,173,0
380,9vySc2ot,36104319,0,20,188,0
381,9vySc2ot,36637796,0,21,178,0
382,9vySc2ot,36982780,0,22,95,0
383,9vySc2ot,38022100,0,23,203,0
384,9vySc2ot,38123319,0,24,210,0
385,9vySc2ot,38151123,0,25,210,0
386,9vySc2ot,38678234,0,26,399,0
387,9vySc2ot,39007825,0,27,174,0
388,9vySc2ot,39359174,0,28,219,0
389,9vySc2ot,39569048,0,29,175,0
390,9vySc2ot,40536667,0,30,234,0
391,9vySc2ot,42049771,0,31,169,0
392,9vySc2ot,43123765,0,32,245,0
393,9vySc2ot,43156280,0,33,182,0
394,9vySc2ot,43348175,0,34,200,0
395,9vySc2ot,43367113,0,35,185,0
396,9vySc2ot,43820536,0,36,189,0
397,9vySc2ot,44519908,0,37,100,0
398,9vySc2ot,44608896,0,38,227,0
399,9vySc2ot,45053706,0,39,160,0
400,9vySc2ot,45469731,0,40,178,0
401,A3AMvvTT,793723,0,1,250,0
402,A3AMvvTT,5374761,0,2,210,0
403,A3AMvvTT,7576657,0,3,186,0
404,A3AMvvTT,11815241,0,4,282,0
